ingredient,protein_per_gram,carbs_per_gram,fats_per_gram
Chicken Breast,0.31,0.0,0.036
Rice,0.027,0.28,0.003
Egg,0.13,0.0072,0.095
Milk,0.034,0.047,0.038
Paneer,0.18,0.016,0.20
Potato,0.021,0.17,0.001
Chapati,0.08,0.45,0.038
Dal,0.09,0.17,0.004
Oats,0.17,0.66,0.07
Banana,0.011,0.23,0.003
Almonds,0.21,0.22,0.49
Curd,0.11,0.049,0.034
Butter,0.0085,0.00085,0.81
Olive Oil,0.0,0.0,1.0
Broccoli,0.028,0.07,0.004
Bread,0.08,0.5,0.03
Sandwich,0.08,0.5,0.03
Apple,0.003,0.138,0.002
Banana,0.011,0.228,0.003
Almonds,0.212,0.216,0.499
Chicken Breast (raw),0.225,0.0,0.026
Beef (lean ground),0.172,0.0,0.150
Salmon (raw),0.200,0.0,0.130
Egg (whole),0.126,0.007,0.095
Milk (whole),0.032,0.048,0.033
Rice (white cooked),0.027,0.287,0.003
Oats (raw),0.132,0.677,0.069
Broccoli,0.028,0.070,0.004
Spinach,0.029,0.036,0.004
Potato (raw),0.020,0.175,0.001
Carrot,0.009,0.096,0.002
Avocado,0.020,0.085,0.147
Olive Oil,0.0,0.0,1.0
Butter,0.009,0.001,0.811
Cheese (Cheddar),0.249,0.013,0.331
Yogurt (plain whole),0.035,0.047,0.033
Peanut Butter,0.225,0.220,0.514
Bread (white),0.08,0.506,0.033
Pasta (dry),0.130,0.747,0.015
Honey,0.003,0.824,0.0
Sugar (white),0.0,1.0,0.0
Quinoa (cooked),0.044,0.213,0.019
Lentils (cooked),0.090,0.201,0.004
Chickpeas (cooked),0.089,0.274,0.026
Black Beans (cooked),0.089,0.237,0.005
Tofu (firm),0.173,0.019,0.087
Shrimp (raw),0.203,0.002,0.017
Turkey Breast (raw),0.210,0.0,0.010
Walnuts,0.152,0.137,0.652
Chia Seeds,0.165,0.421,0.307
Pumpkin Seeds,0.302,0.107,0.490
Blueberries,0.007,0.145,0.003
Strawberries,0.007,0.077,0.003
Cucumber,0.007,0.036,0.001
Tomato,0.009,0.039,0.002
Onion,0.011,0.093,0.001
Garlic,0.064,0.331,0.005
Sweet Potato,0.016,0.201,0.001
Cabbage,0.013,0.058,0.001
Bell Pepper,0.010,0.060,0.003
Mushrooms,0.031,0.033,0.003
Cod (raw),0.178,0.0,0.007
Tuna (canned),0.235,0.0,0.010
Greek Yogurt,0.102,0.036,0.004
Cottage Cheese,0.111,0.034,0.010
Sunflower Seeds,0.208,0.200,0.515
Cashews,0.182,0.302,0.438
Flax Seeds,0.183,0.289,0.422
Green Peas,0.054,0.145,0.004
Corn (sweet),0.032,0.190,0.012
Asparagus,0.022,0.039,0.001
Cauliflower,0.019,0.050,0.003
Zucchini,0.012,0.031,0.003
Celery,0.007,0.030,0.002
Pineapple,0.005,0.131,0.001
Watermelon,0.006,0.076,0.002
Orange,0.009,0.118,0.001
Paneer,0.18,0.016,0.20
Potato,0.021,0.17,0.001
Chapati,0.08,0.45,0.038
Dal,0.09,0.17,0.004
Oats,0.17,0.66,0.07
Banana,0.011,0.23,0.003
Curd,0.11,0.049,0.034
Butter,0.0085,0.00085,0.81
Olive Oil,0.0,0.0,1.0
Broccoli,0.028,0.07,0.004
Bread,0.08,0.5,0.03
Sandwich,0.08,0.5,0.03
